date,text
January 2017,Nokia Software acquires Comptel
December 2016,Nokia ION acquires Deepfield
June 2016,Nokia acquires Withings
April 2016,Nokia acquires Nakina Systems
April 2015,Nokia Corporation acquires Alcatel - Lucent
August 2014,Nokia Service acquires SAC Wireless
April 2013,Nokia Mobile Application acquires HideALL
November 2012,Nokia Location and Commerce acquires earthmine
November 2011,Nokia Asha platform acquires Smarterphone
1 September 2010,Nokia Services acquires Motally (app/webapp tracking software)
9 April 2010,Nokia Services acquires Novarra Inc. (Java based web browser)
9 April 2010,"Nokia Services acquires MetaCarta, Inc."
28 September 2009,Nokia Services acquires Dopplr
11 September 2009,Nokia Services acquires Plum
5 August 2009,Nokia Services acquires cellity AG
9 February 2009,Nokia Services acquires bit-side GmbH
2 December 2008,Nokia Corporation acquires Symbian Ltd.[note 1]
4 November 2008,Nokia Services & Software acquires OZ Communications
15 July 2008,Nokia Services & Software acquires Plazes
10 July 2008,Nokia Corporation acquires Navteq
17 June 2008,Nokia Devices acquires Trolltech (Qt Development Frameworks)
18 December 2007,Nokia Innovation acquires Digiskin UK
4 December 2007,Nokia Enterprise Solutions acquires Avvenu
8 October 2007,Nokia Corporation acquires Enpocket
24 July 2007,Nokia Multimedia acquires Twango
16 October 2006,Nokia Multimedia acquires Loudeye Corp.
12 October 2006,Nokia Multimedia acquires gate5 AG
30 June 2006,Nokia Networks acquires LCC International's U.S. deployment business
10 February 2006,Nokia Enterprise Solutions acquires Intellisync Corporation
18 October 2004,Nokia Corporation acquires Metrowerks Corporation
3 November 2003,Nokia Networks acquires Tahoe Networks
19 August 2003,Nokia Mobile Phones acquires Sega.com Inc.
22 April 2003,Nokia Internet Communications acquires Eizel Technologies
22 May 2002,Nokia Networks acquires Redback Networks Inc.
25 July 2001,Nokia Networks acquires Amber Networks Inc.
28 June 2001,Nokia Internet Communications acquires F5 Networks Inc.
7 December 2000,Nokia Internet Communications acquires Ramp Networks Inc.
20 October 2000,Nokia Mobile Phones acquires NGI Industrial (NGI)
8 August 2000,Nokia Networks acquires DiscoveryCom Inc.
1 February 2000,Nokia Internet Communications acquires Network Alchemy Inc.
13 December 1999,Nokia Wireless Network Solutions acquires Security software business from TeamWARE Group
22 October 1999,Nokia Internet Communications acquires Telekol Group
2 September 1999,Nokia Networks acquires Rooftop Communications Corporation
30 June 1999,Nokia Networks acquires Aircom International
14 May 1999,Nokia Mobile Phones acquires R&D units from TeamWARE Group
18 February 1999,Nokia Wireless Business Communications acquires InTalk Corporation
16 February 1999,Nokia Networks acquires Diamond Lane Communications
18 December 1998,Nokia Internet Communications acquires Vienna Systems Corporation
17 September 1998,Nokia Mobile Phones acquires NE-Products Oy
20 August 1998,Nokia Communications Products acquires User Interface Design
25 June 1998,Nokia Mobile Phones acquires Matra Nortel Communications
9 December 1997,Nokia Networks acquires Ipsilon Networks Inc.
11 February 1991,Nokia Mobile Phones acquires Technophone Ltd